Report generated: 2025-10-09T12:20:27.895Z
Name | ID | AddedDate
R-Tuned : Ultimate Street Racing | R-Tuned | 
Rabbids Hollywood | RabbidsHollywood | 
Raccoon Rampage | RaccoonRampage | 
Radikal Bikers (Third-Party Emulator) | RadikalBikers | 
Raiden III | RaidenIII | 
Raiden III for NESiCAxLive | RaidenIIINesica | 
Raiden IV | RaidenIV | 
Raiden IV for NESiCAxLive | RaidenIVNesica | 
Rainbow Bombergirl | RainbowBombergirl | 
Rambo | Rambo | 
Rampage | Rampage | 
Rastan Saga for NESiCAxLive | RastanSaga | 
Razing Storm | RazingStorm | 
ReVolt | Revolt | 
Ring Riders | RingRiders | 
Robin Hood | RobinHood | 
Rolling Gunner | RollingGunner | 
The Rumble Fish 2 for NESiCAxLive | RumbleFish2Nesica | 
Samurai Shodown | SamuraiShodown | 
Samurai Spirits Sen | SamuraiSpiritsSen | 
SamuraiSpiritsSenNxl | SamuraiSpiritsSenNxl | 
Sword Art Online Deep Explorer | SAO | 
Savage Quest | SavageQuest | 2024-07-10
Super Bikes 3 | SB3 | 
Sengoku Basara X | sbxc | 
School of Ragnarok | SchoolOfRagnarok | 
Dream Raiders | SDR | 
Mario and Sonic at the Rio 2016 Olympic Games | SegaOlympic2016 | 
Mario and Sonic at the Tokyo 2020 Olympic Games | SegaOlympic2020 | 
SEGA Race TV | segartv | 
SEGA Race TV (Elfloader2) | segartvelf2 | 
Senko no Ronde: DUO - Dis-United Order | SenkoNoRondeDuo | 
Senko no Ronde: DUO - Dis-United Order for NESiCAxLive | SenkoNoRondeDuoNesica | 
Shikigami no Shiro III | Shigami3 | 
Shining Force: Cross Elysion | ShiningForceCrossElysion | 
Shining Force: Cross Exlesia | ShiningForceCrossExlesia | 
Shining Force: Cross Raid | ShiningForceCrossRaid | 
Showdown | Showdown | 
Silent Hill: The Arcade | SilentHill | 
Silver Strike Bowling Live | SilverStrikeBowlingLive | 
SiN | SiN | 
Skullgirls 2nd Encore | Skullgirls2E | 
Skylanders: Cloud Patrol | Skylanders | 2024-12-08
SNK Heroines: Tag Team Frenzy | SNKHeroines | 
Winter X Games SnoCross | SnoCross | 
X-Games Snowboarder | Snowboarder | 
Sonic Blast Heroes | SonicBlastHeroes | 
Sonic Dash Extreme | SonicDashExtreme | 
Soul Calibur II Arcade Edition | soulclb2 | 
Soul Calibur III Arcade Edition | soulclb3 | 
Space Invaders for NESiCAxLive | SpaceInvaders | 
Spica Adventure | SpicaAdventure | 
Spica Adventure for NESiCAxLive | SpicaAdventureNxL | 
Spiderman | Spiderman | 
SpongeBob SquarePants Bikini Bottom Bowling | SpongeBob | 
SEGA Rally 3 | SR3 | 
SEGA Racing Classic | SRC | 
Storm Racer G | SRG | 
Sonic & SEGA All-Stars Racing | SSASR | 
Star Trek Voyager | StarTrekVoyager | 
STAR WARS: Battle Pod | StarWars | 
StarWing Paradox | StarwingParadox | 
Storm Rider | StormRider | 
Strania -The Stella Machina- | StraniaTheStellaMachina | 
Street Fighter III: 3rd Strike - Fight for the Future for NESiCAxLive | StreetFighterIII3rdStrike | 
Street Fighter IV | StreetFighterIV | 
